ObjetId,Descriptif,DATE,NOTATEUR,NMASSIF,NUM_PLAC,ETAT_SAN,G,REC_SUP2,REC_LIGN,DIST_MAX,R_MAX,Coupe2020,REMARQUE,MORTAL01,MRAMIF01,VISIH_01,MORTAL02,MRAMIF02,VISIH_02,MORTAL03,MRAMIF03,VISIH_03,MORTAL04,MRAMIF04,VISIH_04,MORTAL05,MRAMIF05,VISIH_05,MORTAL06,MRAMIF06,VISIH_06,MORTAL07,MRAMIF07,VISIH_07,MORTAL08,MRAMIF08,VISIH_08,MORTAL09,MRAMIF09,VISIH_09,MORTAL10,MRAMIF10,VISIH_10,MORTAL11,MRAMIF11,VISIH_11,MORTAL12,MRAMIF12,VISIH_12,MORTAL13,MRAMIF13,VISIH_13,MORTAL14,MRAMIF14,VISIH_14,MORTAL15,MRAMIF15,VISIH_15,MORTAL16,MRAMIF16,VISIH_16,MORTAL17,MRAMIF17,VISIH_17,MORTAL18,MRAMIF18,VISIH_18,MORTAL19,MRAMIF19,VISIH_19,MORTAL20,MRAMIF20,VISIH_20,geometry,filename,uuid,CCOD_FRT,CCOD_UG,CCOD_PRF,A,B,C,D,E,F,prop_EF,prop_DEF,etat_sanit
12.0,20220629_11_RELEVE,29-06-2022,sébastien,HERBELAY,84,3: 75 - 100 %,16,2,4,18.0,20,AS,trouée,3.0,1.0,F,5.0,5.0,F,5.0,5.0,F,4.0,4.0,F,3.0,3.0,F,3.0,3.0,F,5.0,5.0,F,4.0,4.0,F,4.0,4.0,F,2.0,3.0,F,5.0,5.0,F,0.0,1.0,F,2.0,2.0,F,4.0,4.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,3.0,3.0,F,4.0,4.0,F,4.0,4.0,F,POINT (627667.3039121612 6866961.91347106),DSF_CHT_01_2022_02_vs_shp.zip,0x2d43259f9a9ad198,HERBELAY,u,5,0,1,0,3,3,13,0.8,0.95,3
13.0,20220629_11_RELEVE,29-06-2022,sébastien,HERBELAY,83,1: 20 -50 %,27,5,5,15.0,20,NON,point déplacé,0.0,0.0,F,5.0,5.0,F,2.0,1.0,F,2.0,1.0,F,1.0,1.0,F,2.0,1.0,F,0.0,1.0,F,2.0,3.0,F,2.0,2.0,F,2.0,1.0,F,0.0,1.0,F,1.0,2.0,F,5.0,5.0,F,4.0,1.0,F,4.0,1.0,F,4.0,1.0,F,3.0,2.0,F,1.0,1.0,F,1.0,1.0,F,2.0,2.0,F,POINT (627264.0289827378 6867372.713079998),DSF_CHT_01_2022_02_vs_shp.zip,0xea338ad793e9c133,AIGREMON,u,2,1,5,5,4,3,2,0.25,0.45,1
15.0,20220629_11_RELEVE,29-06-2022,sébastien,MEUDON,131,0: 0 - 20 %,26,4,5,15.0,20,NON,,1.0,1.0,F,1.0,2.0,F,1.0,2.0,F,1.0,3.0,F,1.0,2.0,F,1.0,2.0,F,1.0,2.0,F,1.0,2.0,F,1.0,2.0,F,4.0,2.0,F,0.0,0.0,F,1.0,1.0,F,0.0,0.0,F,0.0,0.0,F,1.0,1.0,F,0.0,2.0,F,1.0,1.0,F,5.0,5.0,F,0.0,0.0,F,0.0,0.0,F,POINT (641450.4758881363 6855793.782724933),DSF_CHT_01_2022_02_vs_shp.zip,0x8d9c9f5e137d8069,MEUDON,u,71,5,4,8,1,1,1,0.1,0.15,0
16.0,20220629_11_RELEVE,29-06-2022,sébastien,MEUDON,132,0: 0 - 20 %,25,4,5,15.0,20,NON,,2.0,2.0,F,2.0,2.0,F,1.0,2.0,F,3.0,3.0,F,2.0,3.0,F,3.0,3.0,F,3.0,3.0,F,1.0,2.0,F,0.0,1.0,F,1.0,1.0,F,0.0,0.0,F,2.0,2.0,F,2.0,3.0,F,0.0,1.0,F,0.0,1.0,F,0.0,1.0,F,3.0,3.0,F,2.0,3.0,F,2.0,3.0,F,2.0,3.0,F,POINT (641473.0146758044 6855787.047700493),DSF_CHT_01_2022_02_vs_shp.zip,0xa9f9a07062ead454,MEUDON,u,71,1,5,2,8,4,0,0.2,0.6,1
17.0,20220629_11_RELEVE,29-06-2022,sébastien,MEUDON,143,1: 20 -50 %,27,5,5,15.0,20,NON,déplacé,1.0,0.0,F,1.0,2.0,F,2.0,2.0,F,1.0,1.0,F,2.0,2.0,F,3.0,2.0,T,2.0,1.0,F,2.0,1.0,F,4.0,2.0,F,2.0,3.0,F,1.0,1.0,F,1.0,1.0,F,2.0,1.0,F,1.0,1.0,F,3.0,2.0,F,3.0,2.0,F,2.0,3.0,F,3.0,2.0,F,0.0,0.0,F,1.0,1.0,F,POINT (640422.8206153482 6855111.705033907),DSF_CHT_01_2022_02_vs_shp.zip,0x6baaa652fc8a8358,MEUDON,a,91,1,6,4,8,1,0,0.05,0.45,0
18.0,20220629_11_RELEVE,29-06-2022,sébastien,MEUDON,145,1: 20 -50 %,22,3,4,20.0,20,NON,déplace légèrement,3.0,4.0,F,1.0,1.0,F,1.0,1.0,F,1.0,2.0,F,1.0,1.0,F,0.0,0.0,F,3.0,4.0,F,3.0,2.0,F,1.0,1.0,F,0.0,0.0,F,1.0,1.0,F,1.0,1.0,F,3.0,4.0,F,1.0,1.0,F,2.0,2.0,F,2.0,1.0,F,3.0,1.0,F,2.0,2.0,F,4.0,3.0,F,3.0,3.0,F,POINT (641675.9226208477 6854477.324736162),DSF_CHT_01_2022_02_vs_shp.zip,0x2ba8bd1bc57225bc,MEUDON,a,80,2,7,2,4,1,4,0.25,0.45,1
14.0,20220629_11_RELEVE,29-06-2022,sébastien,HERBELAY,85,3: 75 - 100 %,15,2,5,15.0,20,NON,point déplacé,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,4.0,1.0,F,4.0,1.0,F,4.0,4.0,F,4.0,4.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,5.0,5.0,F,4.0,4.0,F,POINT (627277.8417902394 6867515.44851583),DSF_CHT_01_2022_02_vs_shp.zip,0x1fc1241d49a39e2,MARLY-VS,b,161,0,0,0,0,2,18,1.0,1.0,3
332.0,20220627_42_RELEVE,27-06-2022,jpdh,MOMO,916,0: 0 - 20 %,24,5,5,19.0,20,NON,,3.0,2.0,F,1.0,2.0,F,5.0,5.0,F,1.0,0.0,T,4.0,1.0,F,5.0,5.0,F,0.0,0.0,T,1.0,1.0,T,0.0,1.0,F,2.0,3.0,F,1.0,1.0,F,1.0,1.0,F,1.0,3.0,F,1.0,2.0,F,0.0,1.0,T,2.0,3.0,T,0.0,0.0,F,1.0,3.0,F,1.0,2.0,T,0.0,2.0,F,POINT (649260.7825571131 6881351.700055566),DSF_CHT_01_2022_03_DH_shp.zip,0xd8338215d74c63a1,MOMO,a,39,2,6,4,5,1,2,0.15,0.4,0
333.0,20220627_42_RELEVE,27-06-2022,jpdh,MOMO,917,0: 0 - 20 %,27,5,5,16.0,40,NON,,0.0,3.0,T,2.0,2.0,F,2.0,1.0,F,0.0,0.0,T,1.0,1.0,F,1.0,2.0,F,0.0,1.0,T,2.0,3.0,F,1.0,2.0,F,2.0,3.0,F,1.0,3.0,F,1.0,2.0,F,0.0,2.0,F,0.0,1.0,F,2.0,2.0,F,0.0,1.0,F,0.0,2.0,F,1.0,2.0,F,0.0,2.0,F,1.0,2.0,T,POINT (649267.6297594057 6881480.911479535),DSF_CHT_01_2022_03_DH_shp.zip,0x1ff6f94399328fd5,MOMO,a,39,1,4,9,6,0,0,0.0,0.3,0
334.0,20220627_42_RELEVE,27-06-2022,jpdh,MOMO,52,1: 20 -50 %,38,5,5,13.0,20,NON,,0.0,2.0,F,1.0,1.0,F,1.0,2.0,F,3.0,2.0,F,1.0,2.0,F,0.0,2.0,F,0.0,0.0,F,3.0,1.0,F,4.0,3.0,F,4.0,3.0,F,1.0,2.0,F,4.0,2.0,F,3.0,3.0,F,2.0,1.0,F,0.0,1.0,F,0.0,0.0,F,1.0,1.0,F,1.0,1.0,F,1.0,2.0,F,1.0,3.0,F,POINT (649361.5167327167 6881581.302384414),DSF_CHT_01_2022_03_DH_shp.zip,0xf695a3dc53ddc0a2,MOMO,u,38,2,4,7,3,2,2,0.2,0.35,1
